layer_idx,similarity_score
0.000000000000000000e+00,7.438178360462188721e-02
1.000000000000000000e+00,7.095053046941757202e-02
2.000000000000000000e+00,6.848358362913131714e-02
3.000000000000000000e+00,8.038838207721710205e-02
4.000000000000000000e+00,8.423049747943878174e-02
5.000000000000000000e+00,8.861131221055984497e-02
6.000000000000000000e+00,9.208723157644271851e-02
7.000000000000000000e+00,9.653118997812271118e-02
8.000000000000000000e+00,9.985735267400741577e-02
9.000000000000000000e+00,9.680207818746566772e-02
1.000000000000000000e+01,9.740815311670303345e-02
1.100000000000000000e+01,1.057678014039993286e-01
1.200000000000000000e+01,1.152454167604446411e-01
1.300000000000000000e+01,1.303999274969100952e-01
1.400000000000000000e+01,1.450830101966857910e-01
1.500000000000000000e+01,1.817824095487594604e-01
1.600000000000000000e+01,1.884431242942810059e-01
1.700000000000000000e+01,2.179474234580993652e-01
1.800000000000000000e+01,2.626299262046813965e-01
1.900000000000000000e+01,2.967554330825805664e-01
2.000000000000000000e+01,3.166396021842956543e-01
2.100000000000000000e+01,3.390441536903381348e-01
2.200000000000000000e+01,3.442691862583160400e-01
2.300000000000000000e+01,3.564504683017730713e-01
2.400000000000000000e+01,3.454251587390899658e-01
2.500000000000000000e+01,3.521758317947387695e-01
2.600000000000000000e+01,3.632641136646270752e-01
